Office_scale,Residential_scale
0.018522298,0.020494436
0.016205282,0.020515472
0.016295912,0.020292979
0.015594417,0.019422424
0.015578104,0.020561588
0.015532203,0.01944346
0.015634534,0.019205595
0.016526567,0.019857702
0.023531599,0.019780031
0.029861901,0.018884396
0.03132025,0.017693452
0.031997008,0.014726609
0.030016182,0.014021913
0.023723028,0.013483884
0.02266132,0.012945047
0.022875927,0.014250069
0.024028923,0.015896517
0.024825852,0.017527593
0.021658172,0.01999767
0.018165354,0.020142493
0.021361031,0.021763051
0.021369897,0.021700753
0.021157577,0.021162724
0.02081653,0.021866611
0.018721783,0.021089908
0.015077587,0.021126316
0.015012032,0.021307547
0.014826786,0.021374699
0.014645925,0.020914341
0.01446446,0.020908678
0.014408362,0.021302692
0.014417833,0.019764659
0.014674255,0.019635209
0.014643192,0.019842329
0.014257488,0.019143297
0.013237992,0.014415928
0.013263461,0.013519483
0.013309225,0.014731463
0.013416052,0.014772725
0.013729975,0.015689397
0.01498963,0.019013846
0.015995687,0.019821294
0.016660366,0.02168538
0.017055192,0.020888451
0.016420777,0.020794599
0.016644205,0.021913537
0.016708969,0.021085054
0.016501166,0.021162724
0.015680329,0.021991207
0.015192269,0.022369041
0.015259397,0.021939427
0.014956527,0.021147352
0.014962879,0.019510613
0.014888885,0.019758996
0.014844336,0.019707215
0.014857376,0.019474205
0.023462963,0.020085858
0.02773173,0.020504954
0.031432107,0.020199127
0.033601046,0.019686989
0.032292512,0.019588283
0.03064518,0.019836666
0.030173376,0.018454782
0.031091404,0.018858506
0.031412852,0.019976634
0.031376909,0.020028414
0.027967114,0.020380358
0.021496291,0.020613369
0.023709779,0.021147352
0.023247348,0.021706416
0.02333193,0.020742819
0.023453777,0.022286516
0.021515939,0.021514668
0.017407538,0.02155593
0.016905304,0.021846384
0.015777384,0.021182951
0.015408224,0.021400589
0.015246191,0.020131975
0.015153305,0.020380358
0.015853208,0.019542166
0.020727009,0.02002356
0.027772785,0.020556734
0.031913544,0.020282461
0.033314053,0.019137633
0.02958117,0.015109297
0.026421793,0.014203143
0.026131549,0.012675628
0.026775696,0.013752494
0.026965709,0.016088266
0.027483378,0.017641671
0.024193674,0.019013846
0.018851631,0.018775172
0.021369167,0.019645726
0.021537865,0.020147347
0.021381871,0.019805921
0.02086024,0.019956408
0.019626258,0.019324527
0.015691267,0.020463692
0.01540569,0.019490386
0.015288125,0.018195881
0.015117005,0.017993615
0.01507974,0.017952353
0.015149204,0.017542965
0.015163799,0.017542965
0.015376855,0.017594746
0.015410266,0.017247657
0.015297627,0.015979042
0.016194189,0.016735518
0.016132205,0.016455581
0.015767197,0.015000882
0.016395989,0.014177253
0.016553438,0.014322076
0.017438875,0.015767067
0.017984026,0.016983901
0.018267417,0.017641671
0.017924948,0.018211253
0.017217775,0.019344754
0.017566488,0.019733106
0.017777576,0.018869024
0.017931416,0.019381162
0.016105741,0.018299442
0.015574283,0.019143297
0.015252975,0.019292974
0.015388865,0.018899768
0.015101549,0.017678079
0.014900996,0.018024359
0.014702374,0.017454777
0.014819902,0.017413515
0.014991286,0.016953157
0.015004628,0.016502507
0.014111282,0.014519488
0.014586722,0.012489543
0.014342328,0.011909443
0.014707779,0.011350379
0.014911468,0.011370605
0.016346149,0.013369806
0.017023234,0.016678074
0.017633861,0.017268692
0.018006093,0.018293778
0.01837327,0.01810203
0.017038627,0.01888925
0.01728289,0.019003328
0.017457455,0.019790549
0.017223662,0.01997178
0.016856602,0.019531648
0.016390613,0.019764659
0.016081284,0.019661099
0.01519673,0.018112547
0.014938216,0.017641671
0.014827533,0.016921603
0.014814952,0.017775976
0.014981077,0.017568856
0.023533387,0.018314814
0.028215947,0.01936579
0.032787417,0.020230681
0.033886348,0.019888446
0.03212489,0.019448314
0.030687667,0.01952113
0.031503124,0.018765463
0.032534911,0.018878732
0.03285519,0.018252516
0.031975259,0.018640867
0.027797766,0.019795404
0.021862013,0.01994589
0.023067749,0.020064822
0.022962937,0.02150415
0.023211642,0.021473405
0.02284768,0.021069682
0.019467167,0.021467742
0.015155363,0.021436997
0.014592983,0.020013042
0.014296167,0.019904627
0.014098995,0.018884396
0.013931914,0.018123065
0.013930929,0.017708824
0.014151694,0.017517075
0.020867219,0.018252516
0.027467115,0.01825737
0.031739835,0.018097175
0.032339601,0.018216108
0.030435409,0.017894909
0.029642457,0.016979047
0.029577035,0.016807525
0.029842496,0.017232284
0.030060092,0.016947493
0.029027262,0.017232284
0.023168106,0.016901377
0.019603941,0.017920799
0.022536509,0.018703165
0.022201147,0.01886336
0.021828384,0.01944346
0.02126851,0.019091517
0.020149972,0.019930517
0.015191782,0.020691039
0.014666109,0.01944346
0.014378336,0.01785931
0.014270464,0.017760604
0.01414599,0.017445069
0.014119239,0.017351217
0.014551243,0.016491989
0.020522178,0.017134387
0.026819366,0.017341508
0.029859212,0.017869019
0.031251618,0.018703165
0.028575627,0.017589891
0.027970397,0.016662702
0.028544419,0.017020309
0.029307732,0.015927262
0.029504156,0.017408661
0.029351189,0.017894909
0.026505314,0.017682934
0.020071876,0.01798876
0.022333239,0.018962066
0.02258537,0.020209645
0.022327918,0.020002524
0.021810649,0.020106085
0.020755311,0.019852847
0.015640114,0.019572911
0.01514018,0.018578569
0.014895576,0.01833504
0.014577835,0.017661898
0.014487232,0.017258174
0.014446642,0.016735518
0.014775241,0.016895713
0.019905874,0.017082607
0.027637702,0.01727921
0.029994432,0.015585836
0.030110661,0.013551037
0.027681155,0.012261386
0.026812523,0.011495201
0.026259212,0.012075301
0.027216523,0.01314165
0.027178335,0.014746835
