Office_scale,Residential_scale
0.008298645,0.031894938
0.00726054,0.031927676
0.007301145,0.031581416
0.00698685,0.030226594
0.006979542,0.031999445
0.006958976,0.030259332
0.007004824,0.029889149
0.007404487,0.030904006
0.010542989,0.030783129
0.013379188,0.029389276
0.01403258,0.027535842
0.014335791,0.022918624
0.013448311,0.021821925
0.010628756,0.020984605
0.010153073,0.020146027
0.010249225,0.022176998
0.010765808,0.024739321
0.01112286,0.02727772
0.009703627,0.031121834
0.008138721,0.031347218
0.009570498,0.033869249
0.00957447,0.033772296
0.009479343,0.032934976
0.009326542,0.034030417
0.008388021,0.032821655
0.006755292,0.032878316
0.006725921,0.033160361
0.006642925,0.033264867
0.006561893,0.032548425
0.00648059,0.032539611
0.006455456,0.033152805
0.006459699,0.030759206
0.006574585,0.030557746
0.006560668,0.030880081
0.006387859,0.029792197
0.005931089,0.02243512
0.0059425,0.021040007
0.005963004,0.022926178
0.006010866,0.022990393
0.006151515,0.024416985
0.006715885,0.029590736
0.007166634,0.030847345
0.007464433,0.033748372
0.007641329,0.032508133
0.007357089,0.032362073
0.007457193,0.034103446
0.007486209,0.032814101
0.007393106,0.032934976
0.007025342,0.034224322
0.006806674,0.034812335
0.00683675,0.034143738
0.006701053,0.032911053
0.006703899,0.030363841
0.006670747,0.030750392
0.006650788,0.030669807
0.00665663,0.03030718
0.010512237,0.031259079
0.012424796,0.031911307
0.014082696,0.031435356
0.015054457,0.03063833
0.014468188,0.030484716
0.013730125,0.030871268
0.01351874,0.028720679
0.013930049,0.029348984
0.014074069,0.031089097
0.014057965,0.03116968
0.012530256,0.031717401
0.009631099,0.03208003
0.01062282,0.032911053
0.010415634,0.03378111
0.01045353,0.03228149
0.010508122,0.034683904
0.009639902,0.033482697
0.007799193,0.033546912
0.007574174,0.033998938
0.007068826,0.032966455
0.006903429,0.033305159
0.006830833,0.03133085
0.006789217,0.031717401
0.007102798,0.030412946
0.009286433,0.031162126
0.01244319,0.031991891
0.014298397,0.031565047
0.014925874,0.029783382
0.013253411,0.023514191
0.011837898,0.022103968
0.011707858,0.019726738
0.011996459,0.021402635
0.012081592,0.025037734
0.012313526,0.027455257
0.010839622,0.029590736
0.008446198,0.029219294
0.009574143,0.030574113
0.009649725,0.031354773
0.009579835,0.030823421
0.009346125,0.031057619
0.008793258,0.03007424
0.007030243,0.031847092
0.006902294,0.030332362
0.006849621,0.028317759
0.006772953,0.028002978
0.006756257,0.027938763
0.006787379,0.027301643
0.006793918,0.027301643
0.006889375,0.027382229
0.006904344,0.026842063
0.006853878,0.024867752
0.00725557,0.026045035
0.007227799,0.025609377
0.007064262,0.023345468
0.007345983,0.022063676
0.007416526,0.02228906
0.007813233,0.024537861
0.00805748,0.026431587
0.008184449,0.027455257
0.008031011,0.028341682
0.007714172,0.030105719
0.007870408,0.0307101
0.007964983,0.029365353
0.008033909,0.03016238
0.007215942,0.028478928
0.00697783,0.029792197
0.006833872,0.030025135
