Loc,solar_thermal,solar,wind,hydro,geo_thermal,water_thermal,bio,fuel_cell
서울,8199150,526641290,511720,4337990,174473260,0,1122004250,696857970
부산,9583120,497577920,860620,267490,33680480,267490,706929550,614843210
대구,10874050,366089140,69780,9292370,79956250,0,909617190,83922080
인천,7733950,400676760,108624200,99029450,90574440,1511900,2267861630,1394995240
광주,7350160,629880800,0,17596190,41786590,0,299670210,6943110
대전,8234040,204827560,1000180,651280,57091670,0,338107360,8722500
울산,4151910,243311230,5663810,3279660,46787490,0,4075686980,29703020
세종,1418860,176101460,0,0,163099120,0,255104050,127930
경기,31354480,2726188300,11978900,1403927080,565799500,93040,4847814310,1966249210
강원,35320310,2641498640,1698294010,1754606470,212224240,7478090,3800974750,2349260
충북,14130450,2015979090,34890,1556687130,129767540,0,774267250,1116480
충남,28121340,4333652010,6617470,190313320,220911850,17770640,6404257210,362437320
전북,14991070,5827781370,125662150,574207990,235693580,8792280,11317769390,12351060
전남,34134050,6900695390,1211497100,233925820,185498500,139025020,2335815720,446894380
경북,46787490,4275583420,1917600920,588885050,188312960,6652360,1346521400,32691930
경남,46310660,2852362170,187545380,470340460,167274290,44438230,2435101030,5745220
제주,4303100,912931740,1362605690,7140820,20596730,20934000,5171523730,0
