지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),현지기압(hPa),일조(hr),일사(MJ/m2),전운량(10분위),지면온도(°C),30cm 지중온도(°C)
217,정선군,2020-01-01 01:00,-8.9,,1.1,250,59,-15.4,993.2,,,2,-5.6,.4
217,정선군,2020-01-01 02:00,-8.1,,.8,250,61,-14.3,993.1,,,8,-5,.4
217,정선군,2020-01-01 03:00,-8.4,,2.1,110,63,-14.1,992.4,,,7,-5.3,.4
217,정선군,2020-01-01 04:00,-7.7,,1.4,270,73,-11.7,992,,,6,-5.2,.4
217,정선군,2020-01-01 05:00,-6.3,,2.1,90,72,-10.5,991.9,,,9,-4.7,.3
217,정선군,2020-01-01 06:00,-6.3,,1.7,230,77,-9.6,992,,,6,-4.9,.3
217,정선군,2020-01-01 07:00,-5.2,,3,230,79,-8.2,992.5,,,9,-4.4,.3
217,정선군,2020-01-01 08:00,-4.9,,2.2,200,81,-7.6,992.9,0,,7,-4.1,.3
217,정선군,2020-01-01 09:00,-4,,2.1,200,81,-6.7,993.6,0,,10,-2.6,.2
217,정선군,2020-01-01 10:00,-2.8,,2.8,180,76,-6.4,993.8,.9,,9,-.8,.2
217,정선군,2020-01-01 11:00,-1.3,,3.1,180,72,-5.7,993.5,1,,7,.1,.3
217,정선군,2020-01-01 12:00,-.8,,2.6,180,70,-5.5,992.3,1,,7,.8,.3
217,정선군,2020-01-01 13:00,.2,,2.8,200,67,-5.2,991.5,1,,,2.6,.2
217,정선군,2020-01-01 14:00,.5,,2.8,20,63,-5.7,991.2,1,,7,1.5,.2
217,정선군,2020-01-01 15:00,.2,,5.5,20,63,-6,991.4,1,,5,1.5,.2
217,정선군,2020-01-01 16:00,-.6,,8.3,20,62,-6.9,991.9,.2,,3,-.3,.2
217,정선군,2020-01-01 17:00,-.9,,4.2,20,66,-6.4,992.3,0,,1,-.4,.2
217,정선군,2020-01-01 18:00,-1.3,,3.4,20,69,-6.2,992.7,0,,1,-.6,.2
217,정선군,2020-01-01 19:00,-3.3,,.8,290,79,-6.4,993.1,,,6,-1.2,.2
217,정선군,2020-01-01 20:00,-3.7,,1,270,79,-6.8,993,,,3,-1.9,.2
217,정선군,2020-01-01 21:00,-3.6,,.9,340,78,-6.8,993,,,0,-2.6,.2
217,정선군,2020-01-01 22:00,-5,,.5,290,87,-6.8,992.9,,,1,-3.2,.2
217,정선군,2020-01-01 23:00,-6.3,,.6,320,92,-7.3,993,,,0,-3.8,.2
217,정선군,2020-01-02 00:00,-7,,.4,0,95,-7.6,993.2,,,2,-4.3,.2
217,정선군,2020-01-02 01:00,-7.7,,.2,0,96,-8.2,992.7,,,6,-4.7,.2
217,정선군,2020-01-02 02:00,-7.3,,.5,200,96,-7.8,992.2,,,6,-5,.2
217,정선군,2020-01-02 03:00,-7.7,,.8,230,98,-7.9,991.9,,,4,-5.2,.2
217,정선군,2020-01-02 04:00,-8,,.4,0,96,-8.5,991.9,,,0,-5.5,.1
217,정선군,2020-01-02 05:00,-7.9,,.9,180,98,-8.1,991.9,,,6,-5.7,.1
217,정선군,2020-01-02 06:00,-8.4,,.6,160,99,-8.5,992.3,,,8,-5.7,.1
217,정선군,2020-01-02 07:00,-8.3,,.8,160,98,-8.5,992.5,,,10,-5.7,.1
217,정선군,2020-01-02 08:00,-8.4,,1,140,99,-8.5,992.5,0,,0,-5.6,0
217,정선군,2020-01-02 09:00,-7.5,,1.1,140,98,-7.7,993.1,0,,7,-3.9,0
217,정선군,2020-01-02 10:00,-5.7,,.5,140,88,-7.3,992.8,.7,,9,-1.6,.1
217,정선군,2020-01-02 11:00,-1.9,,.7,90,81,-4.7,991.8,1,,5,-.2,.1
217,정선군,2020-01-02 12:00,2,,2.8,180,65,-3.9,990.7,1,,3,.9,.1
217,정선군,2020-01-02 13:00,3.2,,2.6,180,57,-4.5,989.3,1,,,3.4,.1
217,정선군,2020-01-02 14:00,3.2,,5.1,50,56,-4.7,988.5,1,,0,4,0
217,정선군,2020-01-02 15:00,2.5,,8.6,20,59,-4.7,989,1,,0,2,0
217,정선군,2020-01-02 16:00,1.7,,6.8,20,63,-4.6,989.7,.2,,3,-.2,0
217,정선군,2020-01-02 17:00,1.8,,2.1,110,65,-4,989.5,0,,,-.2,0
217,정선군,2020-01-02 18:00,1.8,,6.3,20,67,-3.6,989.5,0,,,-.3,0
217,정선군,2020-01-02 19:00,1.4,,5.9,20,67,-4,989.1,,,1,-.4,0
217,정선군,2020-01-02 20:00,1,,3.5,360,69,-4,989.6,,,0,-.4,0
217,정선군,2020-01-02 21:00,.8,,1.2,90,71,-3.8,989.5,,,0,-.6,0
217,정선군,2020-01-02 22:00,.1,,1.4,20,75,-3.8,989.6,,,0,-1,0
217,정선군,2020-01-02 23:00,-.7,,1.1,270,79,-3.8,989.8,,,8,-1.4,0
217,정선군,2020-01-03 00:00,-.7,,1.2,320,82,-3.3,989.5,,,9,-1.8,0
217,정선군,2020-01-03 01:00,-1.2,,1.1,340,80,-4.2,989.2,,,0,-2.2,0
217,정선군,2020-01-03 02:00,-1.3,,1,360,81,-4.1,989.2,,,0,-2.4,0
217,정선군,2020-01-03 03:00,-2.1,,.8,270,84,-4.4,989.2,,,4,-2.9,0
217,정선군,2020-01-03 04:00,-2.5,,1.1,290,84,-4.8,988.8,,,9,-3.2,0
217,정선군,2020-01-03 05:00,-3.1,,1.2,290,88,-4.8,988.4,,,0,-3.6,0
217,정선군,2020-01-03 06:00,-4.1,,.2,0,92,-5.2,988.6,,,0,-4,0
217,정선군,2020-01-03 07:00,-4.1,,.7,200,92,-5.2,989,,,0,-4.3,0
217,정선군,2020-01-03 08:00,-5.7,,.5,340,97,-6.1,988.9,0,,0,-4.5,0
217,정선군,2020-01-03 09:00,-4.5,,.3,0,95,-5.1,989.1,0,,0,-3.1,0
217,정선군,2020-01-03 10:00,-1.7,,.9,110,83,-4.2,989.3,1,,0,-.4,.1
217,정선군,2020-01-03 11:00,.9,,2.7,160,68,-4.3,988.6,1,,0,.5,.1
217,정선군,2020-01-03 12:00,2.2,,2.9,140,59,-4.9,987.5,1,,,2.6,.1
217,정선군,2020-01-03 13:00,3.8,,3,180,50,-5.6,986.7,1,,0,5,.1
217,정선군,2020-01-03 14:00,4.5,,2.7,180,46,-6.1,985.7,1,,0,5.2,0
217,정선군,2020-01-03 15:00,5.1,,1.3,140,42,-6.7,985.8,1,,0,4.7,0
217,정선군,2020-01-03 16:00,4.5,,5.8,20,39,-8.2,986.4,.3,,,-.4,0
217,정선군,2020-01-03 17:00,3.3,,2.8,50,44,-7.8,986.6,0,,,-.3,0
217,정선군,2020-01-03 18:00,-.8,,.6,320,67,-6.1,987,0,,,-.4,0
217,정선군,2020-01-03 19:00,-1.9,,.3,0,73,-6.1,987.5,,,,-.6,0
217,정선군,2020-01-03 20:00,-2.1,,3,340,76,-5.7,987.9,,,0,-1,0
217,정선군,2020-01-03 21:00,-2.7,,2.7,340,77,-6.1,987.9,,,,-1.6,0
217,정선군,2020-01-03 22:00,-3.7,,2.6,340,83,-6.1,987.8,,,0,-2,0
217,정선군,2020-01-03 23:00,-4.3,,2.8,340,87,-6.1,987.5,,,0,-2.5,0
217,정선군,2020-01-04 00:00,-5.1,,2.8,360,91,-6.3,987.1,,,0,-3,0
217,정선군,2020-01-04 01:00,-5.6,,1.9,340,91,-6.8,986.6,,,0,-3.5,0
217,정선군,2020-01-04 02:00,-6.3,,.5,360,92,-7.3,986.9,,,0,-3.9,0
217,정선군,2020-01-04 03:00,-6.2,,2.8,360,91,-7.4,987.3,,,0,-4.4,0
217,정선군,2020-01-04 04:00,-6.9,,.8,360,95,-7.5,987.1,,,0,-4.8,0
217,정선군,2020-01-04 05:00,-7.4,,.1,0,96,-7.9,986.9,,,0,-5.2,0
217,정선군,2020-01-04 06:00,-7.7,,.7,340,97,-8,987,,,0,-5.5,0
217,정선군,2020-01-04 07:00,-7.9,,.6,320,99,-8,987.3,,,8,-5.8,0
217,정선군,2020-01-04 08:00,-8.5,,.4,0,98,-8.7,987.8,0,,7,-5.8,0
217,정선군,2020-01-04 09:00,-7.3,,.4,0,96,-7.8,988.3,0,,3,-4.6,0
217,정선군,2020-01-04 10:00,-4.6,,1,110,83,-7,988.1,1,,0,-1,0
217,정선군,2020-01-04 11:00,-1,,.7,140,68,-6.1,987.2,1,,0,.2,0
217,정선군,2020-01-04 12:00,2.7,,2.3,140,57,-4.9,985.8,1,,0,2,0
217,정선군,2020-01-04 13:00,4.4,,2,160,50,-5.1,985,1,,0,5,0
217,정선군,2020-01-04 14:00,5.1,,2.7,160,45,-5.8,984.7,1,,0,5.9,0
217,정선군,2020-01-04 15:00,4.6,,6.5,20,44,-6.6,985,1,,0,3.9,-.1
217,정선군,2020-01-04 16:00,4,,4.2,50,46,-6.5,985.6,.3,,0,-.6,-.1
217,정선군,2020-01-04 17:00,2.8,,.7,230,53,-5.8,986.3,0,,0,-.3,-.1
217,정선군,2020-01-04 18:00,.5,,1,290,65,-5.3,987,0,,0,-.4,-.1
217,정선군,2020-01-04 19:00,-.9,,1.9,320,75,-4.7,987.7,,,0,-.6,-.1
217,정선군,2020-01-04 20:00,-2.1,,2,340,78,-5.4,988.4,,,0,-1.1,-.1
217,정선군,2020-01-04 21:00,-3,,.6,290,82,-5.6,989.1,,,0,-1.6,-.1
217,정선군,2020-01-04 22:00,-3.6,,1.1,200,83,-6,989.8,,,0,-2.2,-.1
217,정선군,2020-01-04 23:00,-4.3,,.5,340,88,-5.9,990.2,,,0,-2.7,-.1
217,정선군,2020-01-05 00:00,-5,,.5,180,88,-6.6,990.3,,,0,-3.2,-.1
217,정선군,2020-01-05 01:00,-5.9,,.4,0,91,-7.1,990.8,,,0,-3.8,-.1
217,정선군,2020-01-05 02:00,-6.1,,.5,160,94,-6.9,991.1,,,0,-4.2,-.1
217,정선군,2020-01-05 03:00,-7.4,,.4,0,94,-8.2,991.6,,,0,-4.8,-.1
217,정선군,2020-01-05 04:00,-7.3,,.6,230,96,-7.8,992.1,,,2,-5.2,-.1
217,정선군,2020-01-05 05:00,-8.1,,.6,180,97,-8.4,992.2,,,0,-5.6,-.1
217,정선군,2020-01-05 06:00,-8.6,,.3,0,98,-8.8,992.7,,,0,-6,-.1
217,정선군,2020-01-05 07:00,-8.9,,.3,0,99,-9,993.7,,,0,-6.3,-.1
217,정선군,2020-01-05 08:00,-9.1,,.5,180,99,-9.2,994.3,0,,0,-6.4,-.1
217,정선군,2020-01-05 09:00,-7.7,,.8,200,94,-8.5,994.9,0,,0,-5.1,-.1
217,정선군,2020-01-05 10:00,-5,,.9,140,82,-7.6,994.9,1,,0,-1,-.1
217,정선군,2020-01-05 11:00,-2.2,,1.2,140,73,-6.3,994.5,1,,0,.3,-.1
217,정선군,2020-01-05 12:00,-.3,,.9,360,65,-6,993.2,1,,0,2.8,-.1
217,정선군,2020-01-05 13:00,3.8,,2,340,50,-5.6,992.2,1,,0,6.2,-.1
217,정선군,2020-01-05 14:00,5.1,,2.1,320,43,-6.4,991.3,1,,,7.8,-.1
217,정선군,2020-01-05 15:00,5.5,,1.3,340,42,-6.4,991.6,1,,0,5.9,-.1
217,정선군,2020-01-05 16:00,3.2,,.8,230,53,-5.4,992,.3,,0,0,-.2
217,정선군,2020-01-05 17:00,2.4,,.6,250,58,-5,992.3,0,,7,-.3,-.2
217,정선군,2020-01-05 18:00,0,,.4,0,69,-5,993.1,0,,8,-.4,-.2
217,정선군,2020-01-05 19:00,-1,,.3,0,73,-5.2,993.5,,,10,-.4,-.2
217,정선군,2020-01-05 20:00,-1.7,,.6,340,79,-4.8,993.8,,,10,-.5,-.1
217,정선군,2020-01-05 21:00,-2.4,,.4,0,78,-5.7,994,,,10,-.8,-.2
217,정선군,2020-01-05 22:00,-3.6,,.6,200,83,-6,994,,,0,-1.5,-.2
217,정선군,2020-01-05 23:00,-4.1,,.4,0,87,-5.9,993.8,,,7,-1.9,-.2
217,정선군,2020-01-06 00:00,-4.3,,.9,180,87,-6.1,994.1,,,5,-2.3,-.1
217,정선군,2020-01-06 01:00,-4.6,,.4,0,88,-6.2,993.8,,,10,-2.4,-.2
217,정선군,2020-01-06 02:00,-4.9,,.3,0,89,-6.4,993.9,,,8,-2.8,-.2
217,정선군,2020-01-06 03:00,-5.5,,.6,160,90,-6.8,993.6,,,9,-3.2,-.1
217,정선군,2020-01-06 04:00,-5.3,,1,200,92,-6.4,993.2,,,8,-3.4,-.1
217,정선군,2020-01-06 05:00,-5.1,,.8,230,92,-6.2,992.6,,,9,-3.3,-.2
217,정선군,2020-01-06 06:00,-5,,.2,0,91,-6.2,993.1,,,9,-3.1,-.1
217,정선군,2020-01-06 07:00,-4.6,,.2,0,90,-5.9,992.9,,,8,-2.7,-.1
217,정선군,2020-01-06 08:00,-4.2,,.4,0,88,-5.8,992.7,0,,10,-2.4,-.1
217,정선군,2020-01-06 09:00,-3.4,,.5,340,86,-5.4,992.4,0,,8,-1.6,-.1
217,정선군,2020-01-06 10:00,-2.5,,.6,50,83,-4.9,993,0,,10,-.9,-.1
217,정선군,2020-01-06 11:00,-1.7,,2.1,340,80,-4.7,992.4,0,,10,-.5,-.1
217,정선군,2020-01-06 12:00,-.3,,1,340,75,-4.2,991.5,0,,10,-.3,-.1
217,정선군,2020-01-06 13:00,1.2,,.6,90,73,-3.1,990.4,.1,,,.6,-.1
217,정선군,2020-01-06 14:00,2.1,,.6,110,74,-2,989.5,.2,,9,.4,-.1
217,정선군,2020-01-06 15:00,3,0,.5,110,73,-1.3,989.2,0,,10,.6,-.1
217,정선군,2020-01-06 16:00,2.8,,1.9,360,76,-1,989,0,,9,.3,-.1
217,정선군,2020-01-06 17:00,2.6,,1.2,360,77,-1,989,0,,10,0,-.1
217,정선군,2020-01-06 18:00,1.4,0,.4,0,96,.8,988.9,0,,10,-.2,-.1
217,정선군,2020-01-06 19:00,.9,,.1,0,100,.8,988.8,,,10,-.2,-.1
217,정선군,2020-01-06 20:00,1,,.8,200,100,.9,988.5,,,10,-.1,-.1
217,정선군,2020-01-06 21:00,.7,.4,.7,140,100,.6,988,,,10,-.2,-.1
217,정선군,2020-01-06 22:00,.7,,.7,140,100,.6,987.7,,,10,-.2,-.1
217,정선군,2020-01-06 23:00,.7,,.8,110,100,.6,987.1,,,10,-.1,-.1
217,정선군,2020-01-07 00:00,.9,.6,.6,140,100,.8,986.5,,,10,-.1,-.1
217,정선군,2020-01-07 01:00,.9,,.3,0,100,.8,985.5,,,10,-.1,-.1
217,정선군,2020-01-07 02:00,.8,,.6,140,100,.7,984.7,,,10,-.1,-.1
217,정선군,2020-01-07 03:00,1,3.5,.6,160,100,.9,984.2,,,10,-.1,-.1
217,정선군,2020-01-07 04:00,1,,.5,180,100,.9,983.2,,,10,-.1,-.1
217,정선군,2020-01-07 05:00,1,,.5,200,100,.9,982.5,,,10,-.1,-.1
217,정선군,2020-01-07 06:00,1.2,7.5,1,160,100,1.1,982.5,,,10,0,-.1
217,정선군,2020-01-07 07:00,1.3,,.7,160,100,1.2,982.1,,,10,0,-.1
217,정선군,2020-01-07 08:00,1.4,,.6,160,100,1.3,981.7,0,,10,0,-.1
217,정선군,2020-01-07 09:00,1.7,5.5,.5,360,100,1.6,982.4,0,,10,.2,-.1
217,정선군,2020-01-07 10:00,2.1,,.8,200,100,2,981.8,0,,10,.3,-.1
217,정선군,2020-01-07 11:00,2.5,,.4,0,100,2.4,981,0,,,.6,-.1
217,정선군,2020-01-07 12:00,3,4.5,.3,0,100,2.9,979.5,0,,,1.1,-.1
217,정선군,2020-01-07 13:00,3.5,,.3,0,100,3.4,977.9,0,,,1.3,-.2
217,정선군,2020-01-07 14:00,3.7,,.6,160,100,3.6,976.6,0,,,1.2,-.2
217,정선군,2020-01-07 15:00,3.8,4,.1,0,100,3.7,975.8,0,,,1.2,-.2
217,정선군,2020-01-07 16:00,3.9,,.5,180,100,3.8,975.1,0,,,1,-.2
217,정선군,2020-01-07 17:00,3.8,,.4,0,100,3.7,974,0,,,1.1,-.2
217,정선군,2020-01-07 18:00,4,12,.4,0,100,3.9,972.8,0,,,1,-.3
217,정선군,2020-01-07 19:00,3.9,,.3,0,100,3.8,971.4,,,10,.9,-.3
217,정선군,2020-01-07 20:00,4,,.5,200,100,3.9,970,,,10,1.1,-.3
217,정선군,2020-01-07 21:00,4.1,12.5,.8,160,100,4,968.2,,,10,1.3,-.3
217,정선군,2020-01-07 22:00,4.2,,.3,0,100,4.1,966.4,,,10,1.3,-.3
217,정선군,2020-01-07 23:00,4.6,,1.7,180,100,4.5,966,,,10,1.4,-.3
217,정선군,2020-01-08 00:00,5,11,1.7,180,100,4.9,963.9,,,10,1.5,-.3
217,정선군,2020-01-08 01:00,4.6,,.5,20,100,4.5,961.8,,,,1.5,-.3
217,정선군,2020-01-08 02:00,10.5,,9.5,20,93,9.4,960.8,,,0,4.3,-.2
217,정선군,2020-01-08 03:00,9.7,4.5,11.1,20,89,7.9,960.9,,,9,4.6,-.2
217,정선군,2020-01-08 04:00,7,,7.6,20,92,5.7,962.6,,,10,3.7,-.2
217,정선군,2020-01-08 05:00,5.7,,5.2,20,91,4.3,963.9,,,9,2.6,-.2
217,정선군,2020-01-08 06:00,5,2.5,7,50,91,3.6,965.8,,,4,2.2,-.2
217,정선군,2020-01-08 07:00,4,,3.9,20,91,2.6,967.3,,,0,1.6,-.2
217,정선군,2020-01-08 08:00,3.4,,2.8,20,92,2.2,969.4,0,,4,1.1,-.2
217,정선군,2020-01-08 09:00,3.9,.5,2.2,230,87,1.9,971.3,0,,2,2.1,-.2
217,정선군,2020-01-08 10:00,3.9,,1.3,270,84,1.4,973.5,0,,10,2.5,-.2
217,정선군,2020-01-08 11:00,4.4,,2.6,180,83,1.7,974.6,0,,10,3.7,-.2
217,정선군,2020-01-08 12:00,4.7,,2.2,180,83,2,975.5,0,,10,4.8,-.2
217,정선군,2020-01-08 13:00,5.1,,2.1,200,80,1.9,976.4,0,,10,4.9,-.1
217,정선군,2020-01-08 14:00,5.6,,2,160,77,1.8,976.9,0,,10,4.5,-.1
217,정선군,2020-01-08 15:00,6,,2.2,160,76,2,977.6,0,,10,4.5,-.1
217,정선군,2020-01-08 16:00,6.1,,1.5,200,75,1.9,978.1,0,,5,4.1,-.1
217,정선군,2020-01-08 17:00,5.3,,3.4,20,80,2.1,978.9,0,,9,3.1,-.1
217,정선군,2020-01-08 18:00,4.5,,1.3,340,86,2.3,980.1,0,,0,2,-.1
217,정선군,2020-01-08 19:00,3.5,,2.5,20,93,2.4,981.1,,,5,1.8,-.1
217,정선군,2020-01-08 20:00,3,,4.5,20,95,2.2,981.8,,,8,1.5,-.1
217,정선군,2020-01-08 21:00,2.7,,5.1,20,95,1.9,982.2,,,10,1.3,-.1
217,정선군,2020-01-08 22:00,2.4,,2.7,20,96,1.8,982.4,,,9,1.1,-.1
217,정선군,2020-01-08 23:00,2.2,,4,20,95,1.4,982,,,10,.9,-.1
217,정선군,2020-01-09 00:00,2.1,,2.8,360,94,1.2,981.9,,,10,.7,-.1
217,정선군,2020-01-09 01:00,2,,2.2,50,86,-.1,982.1,,,0,.3,-.1
217,정선군,2020-01-09 02:00,1.2,,2.7,50,84,-1.2,982.3,,,0,-.2,-.1
217,정선군,2020-01-09 03:00,.6,,4.8,20,82,-2.1,982.7,,,0,-.2,0
217,정선군,2020-01-09 04:00,-.1,,1.3,50,78,-3.4,982.8,,,0,-.2,0
217,정선군,2020-01-09 05:00,-.6,,1.2,160,79,-3.7,982.7,,,0,-.3,0
217,정선군,2020-01-09 06:00,-.9,,2.9,20,79,-4,983,,,0,-.4,0
217,정선군,2020-01-09 07:00,-1.1,,1.1,110,79,-4.2,983.5,,,1,-.5,0
217,정선군,2020-01-09 08:00,-1.3,,2.7,50,78,-4.6,983.6,0,,0,-.6,0
217,정선군,2020-01-09 09:00,-1,,1.6,20,76,-4.7,983.8,0,,5,-.4,0
217,정선군,2020-01-09 10:00,-.1,,2.4,180,73,-4.3,984.1,1,,4,-.2,.1
217,정선군,2020-01-09 11:00,.6,,2.5,160,72,-3.8,984.2,1,,1,.3,.1
217,정선군,2020-01-09 12:00,1.5,,3.5,200,67,-3.9,983.6,1,,3,3.2,.1
217,정선군,2020-01-09 13:00,2.4,,2.5,20,57,-5.2,982.7,1,,1,7.7,.1
217,정선군,2020-01-09 14:00,1.8,,5.3,20,60,-5.1,982.8,1,,3,7.8,.1
217,정선군,2020-01-09 15:00,2.1,,3.9,50,61,-4.6,982.8,1,,1,6.6,.2
217,정선군,2020-01-09 16:00,1.6,,3.7,20,63,-4.6,983.3,.5,,0,2.2,.4
217,정선군,2020-01-09 17:00,.9,,1.1,250,68,-4.3,984.1,0,,0,.2,.5
217,정선군,2020-01-09 18:00,-.9,,1.1,290,81,-3.7,984.7,0,,0,-.1,.6
217,정선군,2020-01-09 19:00,-1.6,,.8,320,85,-3.7,985.4,,,0,-.2,.6
217,정선군,2020-01-09 20:00,-2.1,,1.3,320,92,-3.2,986,,,0,-.3,.6
217,정선군,2020-01-09 21:00,-2.6,,1.6,340,94,-3.4,986.5,,,0,-.5,.6
217,정선군,2020-01-09 22:00,-3.1,,.6,320,97,-3.5,986.9,,,0,-.6,.5
217,정선군,2020-01-09 23:00,-4,,.6,290,100,-4,987.1,,,0,-.7,.5
217,정선군,2020-01-10 00:00,-4.3,,.4,0,100,-4.3,986.9,,,0,-.8,.4
217,정선군,2020-01-10 01:00,-4.8,,.1,0,100,-4.8,987.1,,,0,-1,.4
217,정선군,2020-01-10 02:00,-5.1,,.7,200,100,-5.1,987.2,,,0,-1.2,.4
217,정선군,2020-01-10 03:00,-5.7,,.5,270,100,-5.7,987.5,,,0,-1.3,.4
217,정선군,2020-01-10 04:00,-5.8,,.4,0,100,-5.8,987.2,,,9,-1.4,.4
217,정선군,2020-01-10 05:00,-5.7,,.8,180,100,-5.7,987.3,,,7,-1.3,.3
217,정선군,2020-01-10 06:00,-5.6,,.6,160,99,-5.7,987.2,,,5,-1.1,.3
217,정선군,2020-01-10 07:00,-5.8,,.7,140,99,-5.9,987.2,,,10,-1.4,.3
217,정선군,2020-01-10 08:00,-5.6,,1,110,100,-5.6,987.3,0,,10,-1.2,.3
217,정선군,2020-01-10 09:00,-5.1,,.5,110,97,-5.5,987.8,0,,2,-.7,.3
217,정선군,2020-01-10 10:00,-3.6,,.7,70,88,-5.3,987.7,.5,,0,-.2,.3
217,정선군,2020-01-10 11:00,-1.7,,1.6,20,85,-3.8,987.2,.8,,2,.2,.4
217,정선군,2020-01-10 12:00,.8,,2.3,340,72,-3.6,985.4,1,,3,.7,.4
217,정선군,2020-01-10 13:00,2.9,,3.1,360,65,-3,983.8,1,,0,1.7,.4
217,정선군,2020-01-10 14:00,4.5,,1.4,290,57,-3.2,982.9,1,,0,2.7,.4
217,정선군,2020-01-10 15:00,5.1,,1.2,250,53,-3.7,982.5,1,,0,4.2,.4
217,정선군,2020-01-10 16:00,4.2,,1.4,230,56,-3.8,983,.5,,0,1.5,.3
