瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),捞浇痢柯档(∑C),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),傈款樊(10盒困),瘤搁柯档(∑C),30cm 瘤吝柯档(∑C)
156,堡林,2020-01-01 01:00,-4.6,,3.7,50,48,-13.9,1024.8,,,0,-5.4,
156,堡林,2020-01-01 02:00,-4.7,,3.8,50,50,-13.5,1024.5,,,0,-5.5,
156,堡林,2020-01-01 03:00,-4.5,,2.4,50,52,-12.8,1024.8,,,0,-5.5,
156,堡林,2020-01-01 04:00,-3.5,,1.7,50,48,-12.9,1024.7,,,10,-3,
156,堡林,2020-01-01 05:00,-3,,1.8,50,51,-11.7,1024,,,10,-3.1,
156,堡林,2020-01-01 06:00,-3.6,,1.3,250,58,-10.6,1024,,,10,-2.7,
156,堡林,2020-01-01 07:00,-3.8,,.5,360,59,-10.6,1024.4,,,10,-3.4,
156,堡林,2020-01-01 08:00,-3.7,,.3,0,59,-10.5,1024.4,0,.07,8,-3,
156,堡林,2020-01-01 09:00,-2.5,,.6,270,54,-10.5,1024.7,.7,.45,8,-.8,
156,堡林,2020-01-01 10:00,-1,,.8,250,53,-9.3,1025,.4,.75,6,0,
156,堡林,2020-01-01 11:00,.2,,.9,230,50,-9,1024.8,.4,1.08,9,2.6,
156,堡林,2020-01-01 12:00,1.6,,.9,230,49,-7.9,1023.8,0,.98,8,3.2,
156,堡林,2020-01-01 13:00,3.1,,.9,250,51,-6,1023.2,0,1.11,9,4.3,
156,堡林,2020-01-01 14:00,3.9,,1.3,20,51,-5.3,1022.6,0,1.04,9,5.5,
156,堡林,2020-01-01 15:00,4.3,,3.3,20,50,-5.2,1022.5,.4,1.27,8,7.2,
156,堡林,2020-01-01 16:00,4.7,,1.9,270,49,-5.1,1023.1,1,1.28,6,6.3,
156,堡林,2020-01-01 17:00,3.8,,1.4,320,51,-5.4,1023.2,1,.5,4,1.9,
156,堡林,2020-01-01 18:00,2.8,,.6,50,55,-5.3,1023.1,.1,.09,0,-.6,
156,堡林,2020-01-01 19:00,2,,1.5,20,59,-5.1,1023,,,0,.1,
156,堡林,2020-01-01 20:00,1.1,,2,50,64,-4.9,1022.5,,,0,-.3,
