瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),捞浇痢柯档(∑C),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),傈款樊(10盒困),瘤搁柯档(∑C),30cm 瘤吝柯档(∑C)
143,措备,2020-01-01 01:00,-4.6,,4.9,270,31,-19.2,1026.2,,,0,-5.5,
143,措备,2020-01-01 02:00,-4.8,,3.9,270,33,-18.6,1025.9,,,0,-5.7,
143,措备,2020-01-01 03:00,-4.6,,3.9,270,37,-17.1,1025.5,,,0,-5.7,
143,措备,2020-01-01 04:00,-4.5,,3,250,41,-15.7,1025.1,,,2,-5.8,
143,措备,2020-01-01 05:00,-3.8,,2.6,270,50,-12.7,1024.9,,,7,-4.8,
143,措备,2020-01-01 06:00,-4.5,,.7,20,58,-11.5,1024.6,,,6,-4.4,
143,措备,2020-01-01 07:00,-3.1,,.9,340,58,-10.2,1024.6,,,7,-4.1,
143,措备,2020-01-01 08:00,-1.3,,3.5,290,61,-7.8,1024.5,0,.03,7,-3.2,
143,措备,2020-01-01 09:00,-.2,,4.2,290,60,-7,1025.2,.4,.37,7,-1.4,
143,措备,2020-01-01 10:00,1.8,,3.4,270,54,-6.5,1025.8,1,1.07,6,1.7,
143,措备,2020-01-01 11:00,2.1,,3.7,320,53,-6.5,1025.5,.8,1.37,7,2.5,
143,措备,2020-01-01 12:00,2.7,,4,340,53,-5.9,1024.5,.6,1.02,7,3.9,
143,措备,2020-01-01 13:00,3.7,,4,340,48,-6.3,1023.5,1,2.07,7,9.5,
143,措备,2020-01-01 14:00,3.8,,3.6,320,47,-6.5,1023.1,.9,1.65,3,6.7,
143,措备,2020-01-01 15:00,3.9,,3.5,340,48,-6.1,1023.1,1,1.45,0,7.4,
143,措备,2020-01-01 16:00,4,,3.3,320,48,-6,1023.5,1,.94,0,5,
143,措备,2020-01-01 17:00,3.4,,2.7,320,48,-6.5,1023.7,.8,.38,0,1.5,
143,措备,2020-01-01 18:00,2.4,,1.9,320,51,-6.7,1024.1,0,.02,0,-.6,
143,措备,2020-01-01 19:00,2,,2.1,320,54,-6.3,1024.1,,,0,-.3,
143,措备,2020-01-01 20:00,1.8,,2,290,56,-6,1023.9,,,0,-.7,
143,措备,2020-01-01 21:00,1.4,,1.9,270,57,-6.2,1023.9,,,0,-1.2,
143,措备,2020-01-01 22:00,1.2,,1.7,270,58,-6.1,1024,,,0,-1.8,
143,措备,2020-01-01 23:00,.9,,1.9,270,59,-6.2,1024.1,,,0,-2,
143,措备,2020-01-02 00:00,.6,,1.8,270,62,-5.8,1023.9,,,1,-2.4,
143,措备,2020-01-02 01:00,.3,,1.9,270,64,-5.7,1023.4,,,0,-2.8,
143,措备,2020-01-02 02:00,.5,,2.2,270,64,-5.5,1023.2,,,0,-2.9,
143,措备,2020-01-02 03:00,0,,1.2,270,67,-5.4,1022.6,,,5,-3.1,
143,措备,2020-01-02 04:00,.2,,2.5,270,67,-5.2,1022.6,,,6,-3.1,
143,措备,2020-01-02 05:00,.5,,2.7,270,65,-5.3,1022.6,,,8,-2.2,
143,措备,2020-01-02 06:00,.7,,3,270,64,-5.3,1022.8,,,7,-2.1,
143,措备,2020-01-02 07:00,.7,,2.7,270,64,-5.3,1023.2,,,6,-2.8,
143,措备,2020-01-02 08:00,.9,,2.2,270,64,-5.1,1023.5,0,.03,3,-2.8,
143,措备,2020-01-02 09:00,1.9,,2.8,270,61,-4.8,1024,.8,.37,3,-.8,
143,措备,2020-01-02 10:00,2.9,,4,270,57,-4.7,1024.2,1,.88,5,1.3,
143,措备,2020-01-02 11:00,4.4,,2.5,270,53,-4.3,1023.5,1,1.37,5,5.2,
143,措备,2020-01-02 12:00,5.2,,3.5,290,50,-4.3,1022.5,1,1.66,7,7.6,
143,措备,2020-01-02 13:00,6,,5.4,290,48,-4.2,1020.9,1,1.76,0,10.1,
143,措备,2020-01-02 14:00,6.5,,4.5,270,47,-4,1020.2,1,1.62,0,10.7,
143,措备,2020-01-02 15:00,6.7,,4.7,290,47,-3.8,1020.3,1,1.32,0,9.4,
143,措备,2020-01-02 16:00,6.1,,4.4,320,49,-3.8,1020.9,1,.81,0,6.7,
143,措备,2020-01-02 17:00,5.1,,3.9,320,53,-3.7,1021.2,.6,.34,0,3.6,
143,措备,2020-01-02 18:00,4.5,,2.2,320,55,-3.7,1021.1,0,.02,2,1.6,
143,措备,2020-01-02 19:00,5,,2.6,270,54,-3.5,1021,,,6,2.3,
143,措备,2020-01-02 20:00,4.9,,3.1,290,56,-3.1,1021.2,,,7,2.6,
143,措备,2020-01-02 21:00,4.7,,2.6,290,58,-2.8,1021.2,,,7,1.1,
143,措备,2020-01-02 22:00,4.1,,2,290,59,-3.2,1021.3,,,0,.2,
143,措备,2020-01-02 23:00,3.9,,2.5,290,59,-3.3,1021.2,,,0,-.3,
143,措备,2020-01-03 00:00,3.5,,3.3,270,61,-3.3,1020.9,,,2,0,
143,措备,2020-01-03 01:00,3.4,,3.5,290,59,-3.8,1020.4,,,4,-.1,
143,措备,2020-01-03 02:00,2.9,,3.2,290,60,-4.1,1020,,,9,-.3,
143,措备,2020-01-03 03:00,2.6,,2.4,270,63,-3.7,1020.2,,,3,-.7,
143,措备,2020-01-03 04:00,2,,2.2,270,65,-3.9,1019.9,,,4,-1,
143,措备,2020-01-03 05:00,1.7,,2.3,270,66,-3.9,1019.8,,,2,-1.5,
143,措备,2020-01-03 06:00,.7,,1,250,71,-3.9,1019.8,,,2,-2.2,
143,措备,2020-01-03 07:00,.4,,1.5,290,73,-3.8,1020.1,,,4,-2.5,
143,措备,2020-01-03 08:00,-.7,,1.5,340,81,-3.5,1020.3,0,.02,1,-2.6,
143,措备,2020-01-03 09:00,.3,,.4,0,79,-2.9,1020.6,.5,.36,0,-1,
