지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),현지기압(hPa),일조(hr),일사(MJ/m2),전운량(10분위),지면온도(°C),30cm 지중온도(°C)
152,울산,2020-01-01 01:00,-3.3,,2.2,320,25,-20.5,1019.7,,,0,-4.3,
152,울산,2020-01-01 02:00,-3.6,,3,320,25,-20.8,1019.6,,,0,-4.4,
152,울산,2020-01-01 03:00,-3.3,,2.4,320,33,-17.3,1019.4,,,0,-4.1,
152,울산,2020-01-01 04:00,-3.1,,1.3,320,45,-13.3,1019,,,0,-4,
152,울산,2020-01-01 05:00,-2.2,,1.5,320,49,-11.4,1018.7,,,0,-3.6,
152,울산,2020-01-01 06:00,-1,,3.3,290,52,-9.6,1019,,,8,-2.6,
152,울산,2020-01-01 07:00,-.7,,2.6,340,54,-8.8,1019.3,,,8,-2,
152,울산,2020-01-01 08:00,-.4,,2.2,360,56,-8.1,1019.1,.2,,8,-2.1,
152,울산,2020-01-01 09:00,.6,,3.3,320,57,-6.9,1020.3,.3,,7,-.8,
152,울산,2020-01-01 10:00,1.6,,3.1,320,54,-6.7,1020.8,.9,,4,-.1,
152,울산,2020-01-01 11:00,2.7,,3.7,320,49,-6.9,1020.6,1,,2,2.5,
152,울산,2020-01-01 12:00,3.7,,3.8,320,46,-6.8,1019.5,1,,1,4.9,
152,울산,2020-01-01 13:00,5,,3,320,42,-6.8,1018.3,1,,0,10.5,
152,울산,2020-01-01 14:00,5.6,,3.2,320,41,-6.6,1018.1,1,,0,10.6,
152,울산,2020-01-01 15:00,5.5,,3.8,320,38,-7.7,1018.2,1,,0,8.1,
152,울산,2020-01-01 16:00,5.2,,3.6,320,40,-7.3,1018.6,1,,0,5.4,
152,울산,2020-01-01 17:00,4.3,,3.5,340,43,-7.2,1018.9,.8,,0,1.6,
152,울산,2020-01-01 18:00,2.8,,3.6,320,54,-5.6,1019.3,0,,2,.1,
152,울산,2020-01-01 19:00,2.1,,3.7,320,56,-5.7,1019.1,,,0,-.3,
152,울산,2020-01-01 20:00,1.8,,3.2,340,58,-5.6,1018.9,,,0,-1,
152,울산,2020-01-01 21:00,1.3,,2.4,340,60,-5.6,1018.5,,,0,-1.7,
152,울산,2020-01-01 22:00,1.7,,3.8,320,58,-5.6,1018.1,,,0,-1.2,
152,울산,2020-01-01 23:00,1.3,,2.8,320,61,-5.4,1018.4,,,0,-1.7,
152,울산,2020-01-02 00:00,1,,2.1,340,63,-5.2,1018.3,,,0,-2,
152,울산,2020-01-02 01:00,.3,,1.7,340,67,-5.1,1017.9,,,0,-2.3,
152,울산,2020-01-02 02:00,.2,,1.9,360,67,-5.2,1018,,,0,-2.2,
152,울산,2020-01-02 03:00,1,,4.6,340,65,-4.8,1017.3,,,4,-1.3,
152,울산,2020-01-02 04:00,.8,,3.8,340,66,-4.8,1017.1,,,3,-1.4,
152,울산,2020-01-02 05:00,1,,3.8,340,65,-4.8,1016.9,,,7,-1.2,
152,울산,2020-01-02 06:00,1.2,,3.6,340,63,-5,1017.6,,,8,-.9,
152,울산,2020-01-02 07:00,.8,,2.5,360,65,-5,1018.2,,,7,-1.4,
152,울산,2020-01-02 08:00,1.1,,2.1,340,65,-4.7,1018.7,0,,7,-1.3,
152,울산,2020-01-02 09:00,1.9,,2.1,20,63,-4.4,1019.5,1,,0,.1,
152,울산,2020-01-02 10:00,3.2,,2.9,340,57,-4.5,1019.4,1,,0,1.8,
152,울산,2020-01-02 11:00,5.1,,4.1,320,51,-4.2,1018.6,1,,0,8.9,
152,울산,2020-01-02 12:00,6.4,,3.2,290,47,-4.1,1017.8,1,,0,13,
152,울산,2020-01-02 13:00,7.3,,2.2,270,45,-3.8,1016.1,1,,0,14.6,
152,울산,2020-01-02 14:00,7.8,,2,270,43,-4,1015.4,1,,0,14.2,
152,울산,2020-01-02 15:00,8.4,,2.3,290,42,-3.7,1015.3,1,,0,11.9,
152,울산,2020-01-02 16:00,8.4,,2.2,320,41,-4.1,1015.7,1,,0,8.5,
152,울산,2020-01-02 17:00,7,,3.4,320,46,-3.8,1016,.7,,0,4.2,
152,울산,2020-01-02 18:00,5.3,,1.1,20,54,-3.2,1016.6,0,,0,1.3,
152,울산,2020-01-02 19:00,3.9,,2.6,360,61,-2.9,1016.8,,,0,.8,
152,울산,2020-01-02 20:00,2.9,,2.3,360,65,-3,1017.2,,,0,-.2,
152,울산,2020-01-02 21:00,3.9,,3.7,290,62,-2.7,1017,,,0,.4,
152,울산,2020-01-02 22:00,3.9,,3.7,290,62,-2.7,1016.5,,,0,.4,
152,울산,2020-01-02 23:00,4.1,,3.3,290,61,-2.7,1016.4,,,0,.3,
152,울산,2020-01-03 00:00,4.2,,3.8,320,59,-3.1,1015.7,,,0,.6,
152,울산,2020-01-03 01:00,4.1,,4.6,290,61,-2.7,1015.1,,,0,.8,
152,울산,2020-01-03 02:00,4.1,,4.3,320,59,-3.2,1014.7,,,5,.9,
152,울산,2020-01-03 03:00,3.8,,3,340,60,-3.2,1014.6,,,7,.8,
152,울산,2020-01-03 04:00,3.7,,4.8,320,58,-3.8,1014,,,7,1,
152,울산,2020-01-03 05:00,3.1,,2.2,320,59,-4.1,1014.1,,,9,-.3,
152,울산,2020-01-03 06:00,2.7,,2.1,320,60,-4.3,1013.7,,,7,-1.3,
152,울산,2020-01-03 07:00,2.2,,1.4,320,62,-4.3,1014.1,,,9,-.6,
152,울산,2020-01-03 08:00,3.1,,2.7,340,58,-4.3,1014.1,.1,,7,.1,
152,울산,2020-01-03 09:00,4.5,,1.7,340,49,-5.3,1014.3,1,,0,5.5,
152,울산,2020-01-03 10:00,6.1,,2.1,340,41,-6.1,1014.9,1,,0,4,
152,울산,2020-01-03 11:00,7.8,,3.7,290,31,-8.3,1014.5,1,,0,8.3,
152,울산,2020-01-03 12:00,8.6,,3.2,340,30,-8,1013.3,1,,0,10.4,
152,울산,2020-01-03 13:00,8.3,,4.7,290,33,-7,1012.9,1,,0,10.8,
152,울산,2020-01-03 14:00,8.9,,2.6,320,29,-8.2,1012.7,1,,0,11.2,
152,울산,2020-01-03 15:00,9,,2.3,320,30,-7.6,1012.2,1,,0,9.9,
152,울산,2020-01-03 16:00,8.7,,2.2,360,32,-7.1,1012.4,1,,1,7.7,
152,울산,2020-01-03 17:00,7.7,,2,340,34,-7.2,1013.1,.8,,1,4.3,
152,울산,2020-01-03 18:00,6.5,,1.8,320,38,-6.8,1013.5,0,,1,2.2,
152,울산,2020-01-03 19:00,5.1,,2,360,43,-6.4,1014.1,,,,1,
152,울산,2020-01-03 20:00,4.3,,2.2,20,43,-7.2,1013.9,,,0,.3,
152,울산,2020-01-03 21:00,4.5,,3.3,320,41,-7.6,1013.8,,,0,.1,
152,울산,2020-01-03 22:00,3.8,,4.5,340,44,-7.3,1013.5,,,0,-.1,
152,울산,2020-01-03 23:00,3.2,,3.8,340,47,-7,1013.5,,,1,-.6,
152,울산,2020-01-04 00:00,3.2,,3.7,340,46,-7.3,1013.1,,,0,-.8,
