지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),현지기압(hPa),일조(hr),일사(MJ/m2),전운량(10분위),지면온도(°C),30cm 지중온도(°C)
258,보성군,2020-01-01 01:00,-3.3,,6.8,320,41,-14.7,1032.4,,,0,-3.2,5.8
258,보성군,2020-01-01 02:00,-3.3,,3.2,360,37,-15.9,1032.4,,,0,-3.2,5.8
258,보성군,2020-01-01 03:00,-3.1,,4.8,320,56,-10.6,1032.7,,,0,-3.2,5.7
258,보성군,2020-01-01 04:00,-3.4,,3.1,290,50,-12.3,1032.7,,,0,-3.3,5.6
258,보성군,2020-01-01 05:00,-2.8,,2.8,290,59,-9.7,1032.2,,,5,-2.6,5.5
258,보성군,2020-01-01 06:00,-1.9,,3.4,270,61,-8.4,1031.9,,,10,-2.5,5.4
258,보성군,2020-01-01 07:00,-1.2,,3.7,270,61,-7.7,1032,,,8,-2.5,5.3
258,보성군,2020-01-01 08:00,-1.6,,4.2,270,65,-7.3,1032.4,0,.01,0,-2.4,5.3
258,보성군,2020-01-01 09:00,.6,,4.1,270,60,-6.2,1032.4,1,.39,0,-1.1,5.2
258,보성군,2020-01-01 10:00,2.8,,5.6,320,53,-5.8,1032.6,1,1.03,3,.2,5.1
258,보성군,2020-01-01 11:00,4.3,,6.7,320,52,-4.7,1032.6,1,1.58,2,4.2,5
258,보성군,2020-01-01 12:00,5.2,,6.4,320,50,-4.3,1031.5,1,1.92,1,6.7,5
258,보성군,2020-01-01 13:00,5.9,,5.8,320,49,-4,1030.5,1,2.08,,8.1,4.9
258,보성군,2020-01-01 14:00,6.1,,6.9,320,51,-3.2,1029.9,1,1.97,2,8.1,4.9
258,보성군,2020-01-01 15:00,5.7,,6.9,320,51,-3.6,1029.8,1,1.62,1,7.3,4.8
258,보성군,2020-01-01 16:00,5.2,,6.5,320,52,-3.8,1030.8,1,1.11,0,3.4,4.9
258,보성군,2020-01-01 17:00,4.4,,5,320,55,-3.8,1031.1,.7,.44,2,1.2,4.9
258,보성군,2020-01-01 18:00,3.3,,4.1,320,59,-3.9,1031.1,0,.03,0,0,5
258,보성군,2020-01-01 19:00,2.9,,3.6,320,59,-4.3,1031,,,0,0,5
258,보성군,2020-01-01 20:00,2.2,,2.6,290,63,-4.1,1030.7,,,0,-.2,5.1
258,보성군,2020-01-01 21:00,1.2,,2.1,270,69,-3.8,1031,,,0,-.7,5.1
258,보성군,2020-01-01 22:00,.2,,1.1,290,69,-4.8,1031.3,,,0,-1.1,5.1
258,보성군,2020-01-01 23:00,-.8,,1.4,270,76,-4.5,1031.4,,,0,-1.2,5.1
258,보성군,2020-01-02 00:00,-.3,,3,270,76,-4,1031.1,,,0,-1.3,5.1
258,보성군,2020-01-02 01:00,-1.2,,2.7,250,80,-4.2,1030.2,,,0,-1.5,5.1
258,보성군,2020-01-02 02:00,-.3,,1.5,360,76,-4,1029.7,,,0,-1.5,5
258,보성군,2020-01-02 03:00,0,,3.6,290,75,-3.9,1029.4,,,0,-1.4,5
258,보성군,2020-01-02 04:00,.6,,3.9,270,72,-3.8,1029.1,,,3,-1.3,4.9
258,보성군,2020-01-02 05:00,.7,,4.1,290,73,-3.5,1029,,,0,-1.3,4.9
258,보성군,2020-01-02 06:00,.5,,3.6,270,75,-3.4,1029.2,,,0,-1.3,4.9
258,보성군,2020-01-02 07:00,.9,,3.2,270,74,-3.2,1030.4,,,0,-1.3,4.8
258,보성군,2020-01-02 08:00,1.2,,3.7,270,74,-2.9,1030.6,0,.01,0,-1,4.8
258,보성군,2020-01-02 09:00,2.6,,3,270,69,-2.5,1030.6,.8,.31,2,-.2,4.7
258,보성군,2020-01-02 10:00,5.2,,4.6,340,57,-2.6,1030.4,1,.87,3,.6,4.7
