瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),捞浇痢柯档(∑C),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),傈款樊(10盒困),瘤搁柯档(∑C),30cm 瘤吝柯档(∑C)
146,傈林,2020-01-01 01:00,-5.6,,1.1,110,58,-12.5,1026.4,,,0,-7.3,
146,傈林,2020-01-01 02:00,-6.1,,1.8,140,62,-12.2,1026.1,,,0,-7.6,
146,傈林,2020-01-01 03:00,-5,,1.1,180,62,-11.1,1026,,,9,-5.2,
146,傈林,2020-01-01 04:00,-4.6,,1.4,140,62,-10.7,1025.4,,,9,-3,
146,傈林,2020-01-01 05:00,-3.8,,.7,140,60,-10.4,1025.3,,,9,-2.6,
146,傈林,2020-01-01 06:00,-3.5,,.8,140,59,-10.3,1025.2,,,9,-2.4,
146,傈林,2020-01-01 07:00,-3.2,,.2,0,59,-10,1025.6,,,9,-2.6,
146,傈林,2020-01-01 08:00,-2.7,,.4,0,59,-9.6,1025.5,0,.01,9,-1.9,
146,傈林,2020-01-01 09:00,-1.8,,.6,110,60,-8.5,1025.9,0,.19,9,.1,
146,傈林,2020-01-01 10:00,-.8,,.9,140,59,-7.8,1026.2,0,.4,8,1.1,
146,傈林,2020-01-01 11:00,1,,0,0,58,-6.3,1026,0,.62,9,2.3,
146,傈林,2020-01-01 12:00,2.2,,.3,0,57,-5.4,1025,.1,1.13,8,5.3,
146,傈林,2020-01-01 13:00,2.7,,.7,340,58,-4.7,1024.6,0,1.03,9,7.5,
146,傈林,2020-01-01 14:00,2.6,,1.4,290,56,-5.3,1023.8,.5,1.28,7,7.6,
146,傈林,2020-01-01 15:00,3.8,,2.1,290,52,-5.1,1024,.5,.95,7,7,
146,傈林,2020-01-01 16:00,3.5,,1.8,320,52,-5.4,1024.4,1,1,5,5.7,
146,傈林,2020-01-01 17:00,2.8,,2.3,270,55,-5.3,1024.7,.6,.37,4,2.5,
146,傈林,2020-01-01 18:00,2.2,,.4,0,58,-5.2,1024.4,0,.02,3,.5,
146,傈林,2020-01-01 19:00,2.4,,.3,0,58,-5,1024.4,,,0,.4,
146,傈林,2020-01-01 20:00,0,,1.7,110,69,-5,1023.9,,,0,-.2,
146,傈林,2020-01-01 21:00,-.5,,1.7,140,72,-4.9,1023.9,,,0,-.8,
146,傈林,2020-01-01 22:00,-.9,,1.7,140,75,-4.7,1024.2,,,0,-1.7,
146,傈林,2020-01-01 23:00,-1.5,,1.7,140,76,-5.1,1024.3,,,0,-2.2,
146,傈林,2020-01-02 00:00,-1.6,,2.1,140,78,-4.9,1023.8,,,0,-2.6,
146,傈林,2020-01-02 01:00,-2.1,,2.1,140,79,-5.2,1023.1,,,6,-3.1,
146,傈林,2020-01-02 02:00,-2,,1.9,140,79,-5.1,1022.9,,,0,-3.3,
146,傈林,2020-01-02 03:00,-1.8,,1.8,140,78,-5.1,1022.8,,,8,-2.2,
146,傈林,2020-01-02 04:00,-1.7,,1.6,140,77,-5.2,1022.8,,,8,-2.1,
146,傈林,2020-01-02 05:00,-1.9,,1.3,110,79,-5,1022.5,,,4,-3.8,
146,傈林,2020-01-02 06:00,-2.3,,1.4,140,80,-5.2,1022.7,,,3,-4.3,
146,傈林,2020-01-02 07:00,-2.6,,1.3,140,83,-5,1023.3,,,0,-4.7,
