瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),捞浇痢柯档(∑C),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),傈款樊(10盒困),瘤搁柯档(∑C),30cm 瘤吝柯档(∑C)
184,力林,2020-01-01 01:00,2.6,,2.2,320,63,-3.7,1030.3,,,9,4.2,11.5
184,力林,2020-01-01 02:00,2.7,,2.2,320,68,-2.6,1030.4,,,9,4.3,11.4
184,力林,2020-01-01 03:00,3.2,,2.6,360,69,-1.9,1030.9,,,9,4.4,11.3
184,力林,2020-01-01 04:00,3,,1.4,340,65,-2.9,1030.4,,,9,4.4,11.3
184,力林,2020-01-01 05:00,3.3,,1.8,360,64,-2.8,1030.3,,,9,4.4,11.2
184,力林,2020-01-01 06:00,3.2,,4.1,360,67,-2.3,1030.6,,,9,4.4,11.1
184,力林,2020-01-01 07:00,3.2,,3.7,20,64,-2.9,1031.4,,,9,4.3,11.2
184,力林,2020-01-01 08:00,3.3,,3,360,63,-3,1031.6,0,0,9,4.3,11.2
184,力林,2020-01-01 09:00,3.9,,2.1,320,63,-2.5,1031.7,0,.08,9,4.8,11.1
184,力林,2020-01-01 10:00,4.1,,2.4,360,62,-2.5,1032.3,0,.2,9,5.5,11.1
184,力林,2020-01-01 11:00,4.6,,1.7,340,61,-2.2,1031.9,0,.43,9,6.7,11
184,力林,2020-01-01 12:00,5.1,,2,290,59,-2.2,1030.9,0,.65,9,7.9,11
184,力林,2020-01-01 13:00,5.4,,2.2,320,59,-1.9,1029.9,0,.72,9,8.8,11
184,力林,2020-01-01 14:00,6.1,,2.5,290,58,-1.5,1029.3,.1,.95,9,9.8,11
184,力林,2020-01-01 15:00,5.9,,2.9,270,61,-1,1029.5,0,.5,9,8.7,10.9
184,力林,2020-01-01 16:00,6.2,,3.4,320,61,-.7,1029.9,0,.2,9,7.7,10.8
184,力林,2020-01-01 17:00,6.4,,2.1,320,63,-.1,1029.4,0,.13,9,7.1,10.9
184,力林,2020-01-01 18:00,6.5,,2.8,290,61,-.4,1029.5,0,0,9,6.5,10.9
184,力林,2020-01-01 19:00,6.6,,2,270,62,-.1,1029.3,,,9,6.3,10.9
184,力林,2020-01-01 20:00,6.7,,2.6,340,62,0,1028.8,,,9,6.2,10.8
184,力林,2020-01-01 21:00,6.8,,2.7,360,61,-.2,1029.2,,,9,6.2,10.8
184,力林,2020-01-01 22:00,6.8,,2.4,290,60,-.4,1029.4,,,9,6.2,10.8
184,力林,2020-01-01 23:00,6.7,,.9,250,62,0,1029.5,,,9,6.2,10.9
184,力林,2020-01-02 00:00,6.8,,1.6,200,62,0,1029.2,,,9,6.3,10.9
184,力林,2020-01-02 01:00,6.7,,1,180,63,.1,1027.8,,,9,6.3,10.8
184,力林,2020-01-02 02:00,6.6,,.3,0,65,.4,1027.4,,,7,6.2,10.8
184,力林,2020-01-02 03:00,6.1,,.8,180,67,.4,1027.2,,,8,5.8,10.9
184,力林,2020-01-02 04:00,5.7,,1.7,200,68,.2,1027.7,,,9,5.9,10.8
184,力林,2020-01-02 05:00,6.3,,2.3,200,68,.8,1027.6,,,9,6.1,10.8
184,力林,2020-01-02 06:00,6.8,,1.9,200,66,.8,1027.8,,,9,6.1,10.8
184,力林,2020-01-02 07:00,6.9,,1.7,200,66,.9,1028.3,,,8,6,10.8
184,力林,2020-01-02 08:00,7,,2.3,180,67,1.2,1028.2,0,0,9,6.2,10.8
184,力林,2020-01-02 09:00,7.9,,1.1,230,66,1.9,1028.8,0,.09,9,6.9,10.8
184,力林,2020-01-02 10:00,8.4,,.7,250,65,2.1,1028.9,0,.19,9,7.5,10.8
184,力林,2020-01-02 11:00,8.8,,1.8,360,63,2.1,1028.7,0,.34,9,8.4,10.7
184,力林,2020-01-02 12:00,8.9,,2.2,360,66,2.8,1027.9,0,.31,10,8.9,10.7
184,力林,2020-01-02 13:00,9.1,,2.3,320,65,2.8,1027.2,0,.32,10,8.9,10.7
184,力林,2020-01-02 14:00,9,,1.3,290,69,3.6,1026.5,0,.29,10,9.1,10.6
184,力林,2020-01-02 15:00,9.1,,1.6,320,69,3.7,1026.4,0,.27,10,9.2,10.6
184,力林,2020-01-02 16:00,9.1,,2.4,320,69,3.7,1026.5,0,.22,10,9,10.6
184,力林,2020-01-02 17:00,9,,3.1,320,69,3.6,1026.8,0,.12,10,8.5,10.7
184,力林,2020-01-02 18:00,8.9,,3.2,320,66,2.8,1026.7,0,.02,7,7.7,10.6
184,力林,2020-01-02 19:00,8.6,,2.4,340,66,2.5,1026.5,,,3,6.8,10.7
184,力林,2020-01-02 20:00,8.5,,2,290,66,2.5,1026.9,,,6,6.8,10.7
184,力林,2020-01-02 21:00,8.7,,3.1,320,66,2.6,1027.6,,,7,6.7,10.8
184,力林,2020-01-02 22:00,8.7,,2.8,320,65,2.4,1027.7,,,7,6.7,10.7
184,力林,2020-01-02 23:00,8.6,,2.8,360,69,3.2,1027.3,,,5,6.7,10.7
184,力林,2020-01-03 00:00,8.1,,2.3,360,68,2.5,1026.7,,,6,6.3,10.7
184,力林,2020-01-03 01:00,8.4,,2.4,20,67,2.6,1026.6,,,8,6.7,10.7
184,力林,2020-01-03 02:00,8.2,,1.7,320,66,2.2,1026.3,,,9,6.8,10.7
184,力林,2020-01-03 03:00,7.8,,.8,270,68,2.2,1025.9,,,9,6.9,10.7
184,力林,2020-01-03 04:00,8.5,,2.1,340,68,2.9,1025.6,,,9,7,10.7
184,力林,2020-01-03 05:00,8.7,,2.7,320,67,2.9,1025.4,,,9,7.1,10.7
184,力林,2020-01-03 06:00,8.3,,1.1,200,69,2.9,1025.3,,,9,7.2,10.7
184,力林,2020-01-03 07:00,8.4,,1.2,250,70,3.2,1025.2,,,9,7.3,10.6
184,力林,2020-01-03 08:00,8.7,,.9,230,69,3.3,1024.9,0,0,9,7.4,10.7
184,力林,2020-01-03 09:00,9.4,,1,230,67,3.5,1025.6,0,.08,9,8,10.7
184,力林,2020-01-03 10:00,9.9,,2.9,360,68,4.2,1026.3,0,.27,9,8.8,10.6
184,力林,2020-01-03 11:00,10.7,,2.7,320,67,4.8,1026,.2,.74,5,10.1,10.5
184,力林,2020-01-03 12:00,11.1,,2.2,290,63,4.3,1025,.3,1.08,8,12.5,10.5
184,力林,2020-01-03 13:00,10.4,,2.7,290,62,3.4,1023.9,0,.82,10,12.3,10.5
184,力林,2020-01-03 14:00,10.6,,3,290,63,3.8,1023.6,0,.9,8,12.5,10.5
184,力林,2020-01-03 15:00,10,,3.3,290,67,4.1,1023.4,0,.59,8,11.6,10.5
184,力林,2020-01-03 16:00,9.8,,4.3,290,66,3.7,1023.8,0,.29,9,10.3,10.6
184,力林,2020-01-03 17:00,9.4,,3.7,290,66,3.3,1024.4,0,.17,7,9.2,10.7
184,力林,2020-01-03 18:00,9,,2.9,290,65,2.7,1024.2,0,.02,4,8.1,10.7
184,力林,2020-01-03 19:00,8.9,,4.2,320,63,2.2,1025.1,,,5,7.5,10.8
184,力林,2020-01-03 20:00,8.8,,3.2,320,67,2.9,1024.7,,,7,7,10.8
184,力林,2020-01-03 21:00,8,,1.7,290,64,1.5,1024.3,,,3,6.3,10.8
184,力林,2020-01-03 22:00,7.8,,1.2,340,69,2.4,1024.2,,,1,6.2,10.8
184,力林,2020-01-03 23:00,7.4,,.6,230,70,2.2,1024,,,0,5.8,10.8
184,力林,2020-01-04 00:00,6.4,,1.4,180,72,1.7,1023.7,,,1,5.4,10.9
