瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),捞浇痢柯档(∑C),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),傈款樊(10盒困),瘤搁柯档(∑C),30cm 瘤吝柯档(∑C)
177,全己,2020-01-01 01:00,-5.9,,.2,0,78,-9.1,1029.8,,,9,-3.3,
177,全己,2020-01-01 02:00,-5.2,,.7,180,72,-9.4,1029.4,,,9,-2.8,
177,全己,2020-01-01 03:00,-4.9,,1.9,70,79,-7.9,1029.7,,,9,-2.7,
177,全己,2020-01-01 04:00,-4.8,,.5,140,78,-8,1029.3,,,9,-2.5,
177,全己,2020-01-01 05:00,-4.3,,.5,160,80,-7.2,1029.4,,,9,-2.3,
177,全己,2020-01-01 06:00,-3.9,0,1.2,180,79,-7,1029.1,,,9,-2.5,
177,全己,2020-01-01 07:00,-3.4,,2.1,180,79,-6.5,1029.4,,,9,-2.5,
177,全己,2020-01-01 08:00,-3.3,,1.1,160,79,-6.4,1029.5,0,0,9,-2.1,
177,全己,2020-01-01 09:00,-2.3,,2.1,180,76,-5.9,1029.9,0,.05,9,-1.1,
177,全己,2020-01-01 10:00,-.9,,1.9,180,73,-5.1,1030.1,.3,.47,4,.1,
177,全己,2020-01-01 11:00,2.7,,1.4,180,60,-4.3,1029.6,1,1.41,6,4.4,
177,全己,2020-01-01 12:00,3.3,,2.2,180,52,-5.6,1028.6,.9,1.36,6,4.3,
177,全己,2020-01-01 13:00,3.9,,2.2,230,52,-5,1028,.4,1.02,8,6.2,
177,全己,2020-01-01 14:00,4.2,,1.2,270,52,-4.8,1027.5,.3,.91,9,5.9,
177,全己,2020-01-01 15:00,4.1,,1.4,250,54,-4.3,1027.8,.1,.58,9,5.1,
177,全己,2020-01-01 16:00,1.6,,2.3,50,79,-1.6,1028.5,0,.24,9,2.7,
177,全己,2020-01-01 17:00,1,,.6,360,83,-1.5,1028.6,0,.07,9,1.8,
177,全己,2020-01-01 18:00,.7,,.5,360,87,-1.2,1028.7,0,0,9,1,
177,全己,2020-01-01 19:00,.8,,.1,0,87,-1.1,1028.4,,,9,1,
177,全己,2020-01-01 20:00,.6,,0,0,88,-1.1,1028.2,,,10,.8,
177,全己,2020-01-01 21:00,-.2,,.5,160,90,-1.6,1028.1,,,9,-.7,
177,全己,2020-01-01 22:00,-1.2,,.4,0,94,-2,1028.2,,,9,-.5,
177,全己,2020-01-01 23:00,-1.8,,1.7,160,95,-2.4,1028.3,,,7,-1.4,
177,全己,2020-01-02 00:00,-2.4,,0,0,94,-3.2,1027.8,,,6,-2.1,
177,全己,2020-01-02 01:00,-2.9,,1.1,160,94,-3.7,1027.4,,,0,-2.6,
177,全己,2020-01-02 02:00,-3.4,,0,0,96,-3.9,1027,,,9,-3.3,
177,全己,2020-01-02 03:00,-3.5,,0,0,96,-4,1027,,,6,-2.5,
177,全己,2020-01-02 04:00,-2.7,,0,0,95,-3.3,1027,,,9,-1.2,
177,全己,2020-01-02 05:00,-2.1,,0,0,93,-3,1026.7,,,8,-1.1,
177,全己,2020-01-02 06:00,-1.5,,.4,0,93,-2.4,1026.7,,,9,-1.1,
177,全己,2020-01-02 07:00,-.6,,.8,200,86,-2.6,1027.1,,,9,-.8,
177,全己,2020-01-02 08:00,1.9,,.2,0,69,-3.1,1027.2,0,0,9,-.3,
177,全己,2020-01-02 09:00,.3,,1.8,160,87,-1.6,1027.5,0,.09,9,0,
177,全己,2020-01-02 10:00,2.1,,.7,180,80,-.9,1027.5,.1,.38,9,.7,
177,全己,2020-01-02 11:00,3.6,,2.1,180,66,-2.1,1027.6,0,.51,9,2.7,
177,全己,2020-01-02 12:00,4.8,,1.2,180,65,-1.2,1026.6,0,.67,9,6,
177,全己,2020-01-02 13:00,5,,1.2,200,65,-1,1025.7,0,.69,9,6.5,
177,全己,2020-01-02 14:00,4.9,,1.9,230,67,-.7,1025.5,0,.36,9,4.9,
177,全己,2020-01-02 15:00,4.9,,1.3,230,68,-.5,1025.7,0,.16,9,4.3,
177,全己,2020-01-02 16:00,5,,.7,200,69,-.2,1025.7,0,.12,8,4,
177,全己,2020-01-02 17:00,5.3,,1.8,250,66,-.5,1025.4,0,.14,6,2.9,
177,全己,2020-01-02 18:00,4.4,,1.6,250,65,-1.6,1025.1,0,.01,3,.5,
177,全己,2020-01-02 19:00,4.3,,1.1,250,65,-1.7,1025.5,,,0,-.1,
177,全己,2020-01-02 20:00,1.2,,.6,180,80,-1.8,1025.8,,,0,-.1,
177,全己,2020-01-02 21:00,-.1,,.2,0,87,-2,1026.1,,,8,-.5,
177,全己,2020-01-02 22:00,1,,1.4,180,84,-1.4,1026.2,,,6,0,
177,全己,2020-01-02 23:00,.4,,.6,50,89,-1.2,1026,,,3,.2,
177,全己,2020-01-03 00:00,.3,,.1,0,89,-1.3,1025.4,,,9,.1,
177,全己,2020-01-03 01:00,0,,0,0,90,-1.4,1025.4,,,9,-.4,
177,全己,2020-01-03 02:00,-1.3,,0,0,95,-2,1025.2,,,10,-1.4,
