瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),捞浇痢柯档(∑C),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),傈款樊(10盒困),瘤搁柯档(∑C),30cm 瘤吝柯档(∑C)
131,没林,2020-01-01 01:00,-6.6,,1.3,200,64,-12.2,1027.3,,,0,-3.5,
131,没林,2020-01-01 02:00,-6.9,,1.5,140,68,-11.8,1026.4,,,9,-3,
131,没林,2020-01-01 03:00,-6.5,,1.4,140,67,-11.6,1026.5,,,9,-2.6,
131,没林,2020-01-01 04:00,-5.7,,.8,140,67,-10.8,1026.4,,,9,-2.3,
131,没林,2020-01-01 05:00,-5.4,,.8,160,66,-10.7,1026.2,,,9,-2,
131,没林,2020-01-01 06:00,-5,0,.3,0,67,-10.1,1026.3,,,9,-2,
131,没林,2020-01-01 07:00,-4.9,,1.1,160,68,-9.9,1026.3,,,9,-2.1,
131,没林,2020-01-01 08:00,-4.5,,.9,180,69,-9.3,1026.4,0,0,9,-1.8,
131,没林,2020-01-01 09:00,-4,,.4,0,70,-8.6,1026.8,0,.02,9,-1.3,
131,没林,2020-01-01 10:00,-3.5,,.7,140,69,-8.3,1027.1,0,.28,9,-.4,
131,没林,2020-01-01 11:00,-2.3,,.3,0,66,-7.8,1026.7,0,.69,9,0,
131,没林,2020-01-01 12:00,-1.3,,.3,0,67,-6.6,1025.8,.1,.85,9,1,
131,没林,2020-01-01 13:00,.6,,.6,250,61,-6,1025,.3,1.14,9,1.2,
131,没林,2020-01-01 14:00,1,,1.7,50,62,-5.4,1024.3,0,.61,9,1.2,
131,没林,2020-01-01 15:00,.3,,.7,360,70,-4.5,1024.6,0,.64,9,1.1,
131,没林,2020-01-01 16:00,.6,,.6,20,70,-4.2,1025.1,0,.3,9,.5,
131,没林,2020-01-01 17:00,.3,,0,0,72,-4.1,1025.1,0,.12,9,-.2,
131,没林,2020-01-01 18:00,.1,,.1,0,76,-3.6,1025.2,0,.02,9,0,
131,没林,2020-01-01 19:00,.1,,0,0,79,-3.1,1025,,,9,0,
131,没林,2020-01-01 20:00,0,,.2,0,80,-3,1024.8,,,7,0,
131,没林,2020-01-01 21:00,-.4,,.2,0,81,-3.2,1024.5,,,8,0,
131,没林,2020-01-01 22:00,-.4,,.2,0,81,-3.2,1024.7,,,9,0,
131,没林,2020-01-01 23:00,-.3,,.3,0,80,-3.3,1025,,,0,0,
131,没林,2020-01-02 00:00,-.4,,.8,50,81,-3.2,1024.5,,,8,0,
131,没林,2020-01-02 01:00,-.5,,0,0,82,-3.2,1024,,,6,0,
131,没林,2020-01-02 02:00,-.7,,0,0,83,-3.2,1023.6,,,1,0,
131,没林,2020-01-02 03:00,-.9,,.2,0,84,-3.2,1023.6,,,8,0,
131,没林,2020-01-02 04:00,-.7,,0,0,81,-3.5,1023.7,,,8,-.1,
131,没林,2020-01-02 05:00,-.3,,.9,230,83,-2.8,1023.2,,,9,-.2,
131,没林,2020-01-02 06:00,-.5,,0,0,84,-2.8,1023.5,,,9,-.2,
131,没林,2020-01-02 07:00,-.4,,0,0,83,-2.9,1023.8,,,9,-.2,
131,没林,2020-01-02 08:00,0,,0,0,84,-2.3,1024,0,0,9,-.2,
